2020-04-18 16:04:85 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-18 16:04:798 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7330f0a73cba6100fec47e51ed93d413)] -> link text: Log in]
2020-04-18 16:04:862 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7330f0a73cba6100fec47e51ed93d413)] -> xpath: //div[@class='page-title']//h1]
2020-04-24 19:04:520 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-24 19:04:163 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (bd6011dd0804fb93721d555faa39f21d)] -> link text: Log in]
2020-04-24 19:04:200 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (bd6011dd0804fb93721d555faa39f21d)] -> xpath: //div[@class='page-title']//h1]
2020-04-24 20:04:170 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-24 20:04:353 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (5ea469a273c640509b27f281c0ce14b8)] -> link text: Log in]
2020-04-24 20:04:437 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (5ea469a273c640509b27f281c0ce14b8)] -> xpath: //div[@class='page-title']//h1]
2020-04-24 20:04:358 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-24 20:04:436 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e1285509f05d310b84648e097aa6acc7)] -> link text: Log in]
2020-04-24 20:04:513 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (e1285509f05d310b84648e097aa6acc7)] -> xpath: //div[@class='page-title']//h1]
2020-04-24 20:04:503 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-24 20:04:149 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8f882d4dd3d401877e7955067d1aa4f9)] -> link text: Log in]
2020-04-24 20:04:220 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (8f882d4dd3d401877e7955067d1aa4f9)] -> xpath: //div[@class='page-title']//h1]
2020-04-24 22:04:703 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-24 22:04:685 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3c44dce3935ee903cb45ad2f5a0a87a0)] -> link text: Log in]
2020-04-24 22:04:752 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (3c44dce3935ee903cb45ad2f5a0a87a0)] -> xpath: //div[@class='page-title']//h1]
2020-04-24 22:04:850 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-24 22:04:512 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1b028b4575bb219153ddf982decc21c1)] -> link text: Log in]
2020-04-24 22:04:549 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (1b028b4575bb219153ddf982decc21c1)] -> xpath: //div[@class='page-title']//h1]
2020-04-24 22:04:53 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-24 22:04:916 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c70c7964be9405a9ccea039c622a1c36)] -> link text: Log in]
2020-04-24 22:04:970 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (c70c7964be9405a9ccea039c622a1c36)] -> xpath: //div[@class='page-title']//h1]
2020-04-25 09:04:903 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-25 09:04:595 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (0cc17dccafe24ce15dcc4156540597ad)] -> link text: Log in]
2020-04-25 09:04:687 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (0cc17dccafe24ce15dcc4156540597ad)] -> xpath: //div[@class='page-title']//h1]
2020-04-25 09:04:437 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-25 09:04:704 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (769087b85e5e4858c29a69418cb9fced)] -> link text: Log in]
2020-04-25 09:04:820 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (769087b85e5e4858c29a69418cb9fced)] -> xpath: //div[@class='page-title']//h1]
2020-04-25 09:04:882 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-25 09:04:635 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (22ddaa5855560b778bfa9dcdacc86e19)] -> link text: Log in]
2020-04-25 09:04:809 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (22ddaa5855560b778bfa9dcdacc86e19)] -> xpath: //div[@class='page-title']//h1]
2020-04-25 09:04:451 INFO  BrowserSelector :22 - Launching Chrome Browser
2020-04-25 09:04:839 INFO  HomePage :30 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1437fc468dec04420169b5947fb7c464)] -> link text: Log in]
2020-04-25 09:04:956 INFO  LoginPage :55 - Getting text from : [[ChromeDriver: chrome on WINDOWS (1437fc468dec04420169b5947fb7c464)] -> xpath: //div[@class='page-title']//h1]
